tag,method,eta,cov_all,width,inf_frac,cell_sd,cell_range,cell_frac_in,n_eligible_cells,domain,prep,scenario,n_all,D_km,spacing_km
YRD4|raw|interp,sLSCP,8phi,0.9034369885433715,6.754456268678607,0.0,0.0829138524638368,0.36,0.9090909090909091,33,YRD4,raw,interp,3053,1197.1,21.67
YRD4|raw|interp,sLSCP,16phi,0.9034369885433715,6.754456268678607,0.0,0.0829138524638368,0.36,0.9090909090909091,33,YRD4,raw,interp,3053,1197.1,21.67
YRD4|raw|interp,sLSCP,inf,0.9034369885433715,6.754456268678607,0.0,0.0829138524638368,0.36,0.9090909090909091,33,YRD4,raw,interp,3053,1197.1,21.67
EastChina|detrend|extrap,GSCP,equal,0.8912537412703692,8.818815802817186,0.0,0.09048300006467055,0.3571428571428571,0.8285714285714286,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,0.5phi,0.998004655803126,16.56888247840121,0.9504489524442966,0.009043894099225526,0.051948051948051965,1.0,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,1phi,0.9876953774526106,11.404521041442383,0.8852677086797472,0.03695259695736036,0.1428571428571429,1.0,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,2phi,0.9847023611572996,10.023666851323416,0.8852677086797472,0.04736208314109056,0.20238095238095233,0.9714285714285714,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,4phi,0.9837046890588627,9.401991463930308,0.8852677086797472,0.051307080212896025,0.22619047619047616,0.9714285714285714,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,8phi,0.9827070169604257,9.770454313761627,0.8742933155969405,0.05267341004370225,0.23809523809523814,0.9714285714285714,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,16phi,0.9447954772198204,11.847631770596188,0.3312271366810775,0.05778893644521469,0.23809523809523814,0.9714285714285714,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|extrap,sLSCP,inf,0.8915862986365148,8.837953621561507,0.0,0.09041341684256893,0.3571428571428571,0.8285714285714286,35,EastChina,detrend,extrap,3007,4125.7,75.24
EastChina|detrend|interp,GSCP,equal,0.9141430948419301,8.90823114568281,0.0,0.07701640156689861,0.3058823529411765,0.8285714285714286,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,0.5phi,0.9916805324459235,11.370496253492071,0.8009983361064892,0.009620102462647979,0.0267857142857143,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,1phi,0.989018302828619,10.607996639128283,0.8,0.0119313838316967,0.03614457831325302,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,2phi,0.9880199667221298,10.64665356024087,0.8,0.015174704767811116,0.06976744186046513,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
EastChina|detrend|interp,sLSCP,4phi,0.9853577371048253,10.402215385398174,0.8,0.017045617911322357,0.06976744186046513,1.0,35,EastChina,detrend,interp,3007,4125.7,75.24
